Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,64,densenet_onnx_config_0,1:GPU,Yes,789.6,75.3,30.7
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_0,1:GPU,Yes,789.6,37.0,30.9
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,densenet_onnx_config_0,1:GPU,Yes,789.6,37.0,31.1
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,32,densenet_onnx_config_0,1:GPU,Yes,789.6,51.5,31.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_0,1:GPU,Yes,789.6,72.0,33.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_0,1:GPU,Yes,789.6,34.5,26.9
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_0,1:GPU,Yes,789.6,58.0,24.4
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,densenet_onnx_config_default,1:GPU,Yes,788.5,37.0,30.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_default,1:GPU,Yes,789.6,37.0,29.3
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_default,1:GPU,Yes,791.7,37.0,27.9
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_default,1:GPU,Yes,789.6,51.0,28.2
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_default,1:GPU,Yes,791.7,55.3,25.6
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_2,3:GPU,Yes,902.8,57.0,28.6
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_2,3:GPU,Yes,902.8,64.7,29.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_2,3:GPU,Yes,902.8,24.5,25.7
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_2,3:GPU,Yes,902.8,24.0,25.7
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,densenet_onnx_config_2,3:GPU,Yes,902.8,23.0,25.8
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_1,2:GPU,Yes,846.2,63.0,25.9
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_1,2:GPU,Yes,846.2,28.5,26.3
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_1,2:GPU,Yes,846.2,49.2,27.5
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_1,2:GPU,Yes,846.2,25.5,27.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_4,5:GPU,Yes,1014.0,61.5,24.5
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_4,5:GPU,Yes,1014.0,61.0,27.0
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,densenet_onnx_config_4,5:GPU,Yes,1014.0,47.8,25.2
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_4,5:GPU,Yes,1014.0,60.0,26.8
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_4,5:GPU,Yes,1014.0,48.0,24.3
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,densenet_onnx_config_3,4:GPU,Yes,957.3,66.0,26.7
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,densenet_onnx_config_3,4:GPU,Yes,957.3,44.8,22.9
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,densenet_onnx_config_3,4:GPU,Yes,957.3,24.5,26.2
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,densenet_onnx_config_3,4:GPU,Yes,957.3,23.5,26.2
densenet_onnx,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,densenet_onnx_config_3,4:GPU,Yes,957.3,24.0,26.5

