Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
densenet_onnx,1,64,densenet_onnx_config_0,1:GPU,0,Yes,258.3,270.5
densenet_onnx,1,8,densenet_onnx_config_0,1:GPU,0,Yes,251.2,39.3
densenet_onnx,1,16,densenet_onnx_config_0,1:GPU,0,Yes,249.1,72.5
densenet_onnx,1,32,densenet_onnx_config_0,1:GPU,0,Yes,242.5,162.2
densenet_onnx,1,4,densenet_onnx_config_0,1:GPU,0,Yes,239.0,26.5
densenet_onnx,1,2,densenet_onnx_config_0,1:GPU,0,Yes,232.6,13.0
densenet_onnx,1,1,densenet_onnx_config_0,1:GPU,0,Yes,212.6,6.5
densenet_onnx,1,16,densenet_onnx_config_default,1:GPU,0,Yes,251.9,71.1
densenet_onnx,1,8,densenet_onnx_config_default,1:GPU,0,Yes,248.6,44.0
densenet_onnx,1,2,densenet_onnx_config_default,1:GPU,0,Yes,240.9,10.7
densenet_onnx,1,4,densenet_onnx_config_default,1:GPU,0,Yes,230.6,25.2
densenet_onnx,1,1,densenet_onnx_config_default,1:GPU,0,Yes,184.4,7.9
densenet_onnx,1,2,densenet_onnx_config_2,3:GPU,0,Yes,239.3,15.1
densenet_onnx,1,1,densenet_onnx_config_2,3:GPU,0,Yes,221.0,7.4
densenet_onnx,1,8,densenet_onnx_config_2,3:GPU,0,Yes,183.8,56.8
densenet_onnx,1,4,densenet_onnx_config_2,3:GPU,0,Yes,178.8,36.1
densenet_onnx,1,16,densenet_onnx_config_2,3:GPU,0,Yes,178.7,103.8
densenet_onnx,1,2,densenet_onnx_config_1,2:GPU,0,Yes,232.9,14.8
densenet_onnx,1,8,densenet_onnx_config_1,2:GPU,0,Yes,224.3,47.7
densenet_onnx,1,1,densenet_onnx_config_1,2:GPU,0,Yes,222.7,6.0
densenet_onnx,1,4,densenet_onnx_config_1,2:GPU,0,Yes,214.4,29.2
densenet_onnx,1,2,densenet_onnx_config_4,5:GPU,0,Yes,228.4,16.1
densenet_onnx,1,1,densenet_onnx_config_4,5:GPU,0,Yes,196.0,8.2
densenet_onnx,1,16,densenet_onnx_config_4,5:GPU,0,Yes,174.3,114.2
densenet_onnx,1,4,densenet_onnx_config_4,5:GPU,0,Yes,172.8,34.6
densenet_onnx,1,8,densenet_onnx_config_4,5:GPU,0,Yes,165.7,68.1
densenet_onnx,1,2,densenet_onnx_config_3,4:GPU,0,Yes,223.7,16.3
densenet_onnx,1,1,densenet_onnx_config_3,4:GPU,0,Yes,194.1,7.8
densenet_onnx,1,4,densenet_onnx_config_3,4:GPU,0,Yes,187.1,37.0
densenet_onnx,1,8,densenet_onnx_config_3,4:GPU,0,Yes,183.1,57.0
densenet_onnx,1,16,densenet_onnx_config_3,4:GPU,0,Yes,181.1,104.6

