Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,256,text_reg_batch_config_4,0:GPU,Yes,1283.5,94.5,35.8
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,64,text_reg_batch_config_4,0:GPU,Yes,1283.5,47.5,31.4
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,128,text_reg_batch_config_4,0:GPU,Yes,1283.5,70.2,35.1
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,32,text_reg_batch_config_4,0:GPU,Yes,1283.5,46.0,30.0
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,text_reg_batch_config_4,0:GPU,Yes,1283.5,46.2,31.2
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,text_reg_batch_config_4,0:GPU,Yes,1015.0,87.7,34.2
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,4,text_reg_batch_config_4,0:GPU,Yes,1015.0,87.7,36.1
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,2,text_reg_batch_config_4,0:GPU,Yes,1015.0,43.5,35.8
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,1,text_reg_batch_config_4,0:GPU,Yes,1015.0,82.5,33.8
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,16,text_reg_batch_config_3,0:GPU,Yes,1015.0,93.5,35.6
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,32,text_reg_batch_config_3,0:GPU,Yes,1015.0,90.8,35.0
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,128,text_reg_batch_config_3,0:GPU,Yes,1015.0,92.0,33.5
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,64,text_reg_batch_config_3,0:GPU,Yes,1015.0,92.2,34.0
text_reg_batch,GPU-4a275e2e-8c15-ac52-eafa-231bdf89a585,1,8,text_reg_batch_config_3,0:GPU,Yes,1015.0,91.0,38.8
